Herbs_And_Fungi_Perk_SeedBag_PerkDescription,"Start with variety seeds: 2 Hemp (edible, roastable, grows for fiber & flowers), 2 Rye, 2 Flax, 2 Peas, 2 Wheat. Plant in tilled soil for crops.",开始时携带多种种子：2份大麻（可食用、可烘烤、可种植获取纤维和花朵）、2份黑麦、2份亚麻、2份豌豆和2份小麦。在翻耕的土壤中种植。
Herbs_And_Fungi_Perk_SeedBag_PerkName,Seed Bag,种子袋
Herbs_And_Fungi_Perk_DryingKit_PerkDescription,"Start with a wooden drying stack (3 tray slots) and 3 woven drying trays (6 drying slots each) for preserving herbs, mushrooms, flowers, and meats. Dried items have extended shelf life.",开始时携带一个木制晾干堆（3个托盘槽位）和3个编织晾干托盘（各6个晾干槽位），用于保存草药、蘑菇、花朵和肉类。干燥物品保质期更长。
Herbs_And_Fungi_Perk_DryingKit_PerkName,Drying Kit,晾干套装
Herbs_And_Fungi_Perk_AddHemp_PerkDescription,"Start with 10 Hemp Seeds. Edible raw or roasted, plantable for fiber and flowers. Wild hemp can be foraged in the primeval woods. Flowers dry, grind into powder, smoke in pipes, or make into hemp butter (requires heating to activate).",开始时携带10份大麻种子。可生吃或烘烤，可种植获取纤维和花朵。野生大麻可在原始森林中采集。花朵可干燥、研磨成粉、在烟斗中吸食，或制成大麻黄油（需要加热激活）。
Herbs_And_Fungi_Perk_AddHemp_PerkName,Add Hemp,添加大麻
Herbs_And_Fungi_Perk_Stoner_PerkDescription,"Complete hemp testing kit: 1 Herb Pipe with 4 hemp powder, 8 seeds (edible/plantable), 4 raw flowers, 4 dried flowers, and stalks for fiber crafting.",完整大麻测试套装：1个草药烟斗配4份大麻粉、8份种子（可食用/种植）、4朵鲜花、4朵干花和用于纤维工艺的茎。
Herbs_And_Fungi_Perk_Stoner_PerkName,Hemp Farmer,大麻爱好者
Herbs_And_Fungi_MorelMushroom_SpoilageTime_CardStatName,Spoilage,新鲜度
Herbs_And_Fungi_MorelMushroom_SpoilageTime_OnFull_ActionDescription,Morel Spoiled!,羊肚菌变质了！
Herbs_And_Fungi_MorelMushroom_DismantleActions_Eat_ActionName,Eat Raw,生吃
