Mod_Update_Manager_Name,Mod Update Manager,模组更新管理器
Mod_Update_Manager_Desc,Manages mod updates for Card Survival: Fantasy Forest.,管理卡牌生存：奇幻森林的模组更新。
Mod_Update_Manager_InstallIncomplete,[Install Incomplete],[安装不完整]
Mod_Update_Manager_RecheckRateLimited,Re-check Rate-Limited,重新检查限速模组
Mod_Update_Manager_FrameworkStale,"Framework update available: ""{0}"" installed v{1}, latest v{2} available. Switch to the All or Updates Available filter above to update it - an outdated framework can break content mods.","框架有更新：""{0}""已安装 v{1}，最新可用 v{2}。请切换到上方的“全部”或“有更新”筛选来更新它，过旧的框架可能导致内容模组损坏。"
Mod_Update_Manager_DependencyHeader,Dependencies ({0} unsatisfied),依赖项（{0} 项未满足）
Mod_Update_Manager_MissingDependencyBadge,[Missing dependency],[缺少依赖]
Mod_Update_Manager_MissingOptionalDependencyBadge,[Missing optional dependency],[缺少可选依赖]
Mod_Update_Manager_MissingHardDependency,"Requires ""{0}""{1}, which is not installed. BepInEx will refuse to load this plugin until it is.","需要 ""{0}""{1}，但它尚未安装。在安装之前，BepInEx 将拒绝加载该插件。"
Mod_Update_Manager_MissingSoftDependency,"Optionally uses ""{0}""{1}, which is not installed. This plugin still loads, but some of its features may be inactive.","可选地使用 ""{0}""{1}，但它尚未安装。该插件仍可加载，但部分功能可能无法使用。"
Mod_Update_Manager_DependencyMinVersion, v{0} or newer, v{0} 或更高版本
