apparel_cloth_scarf_CardName,Cloth Scarf,布围巾
apparel_cloth_scarf_CardDescription,"A cloth scarf worn around the neck. Offers light protection from wind and cold.

<b>MUST BE EQUIPPED TO WORK</b>","一条围在脖子上的布围巾，能为你抵御些许风寒。

<b>必须装备后才能生效</b>"
apparel_foot_wraps_CardName,Foot Wraps,裹脚布
apparel_foot_wraps_CardDescription,"Strips of cloth wound around the feet and ankles. Crude but better than bare feet.

<b>MUST BE EQUIPPED TO WORK</b>","缠绕在双脚和脚踝上的布条。简陋，但总比赤脚强。

<b>必须装备后才能生效</b>"
apparel_hand_wraps_CardName,Hand Wraps,裹手布
apparel_hand_wraps_CardDescription,"Strips of cloth wrapped around the hands. Offer minimal protection against cuts and cold.

<b>MUST BE EQUIPPED TO WORK</b>","缠绕在双手上的布条，能提供些许防割伤和防寒的保护。

<b>必须装备后才能生效</b>"
apparel_chaperon_CardName,Chaperon,兜帽披肩
apparel_chaperon_CardDescription,"A cloth hood with a short cape that covers the head and shoulders. More coverage than a simple coif.

<b>MUST BE EQUIPPED TO WORK</b>","一顶带有短披肩的布兜帽，可以遮住头部和肩膀，比普通头巾遮盖范围更大。

<b>必须装备后才能生效</b>"
apparel_straw_hat_CardName,Straw Hat,草帽
apparel_straw_hat_CardDescription,"A wide-brimmed hat woven from dried straw. Good protection from the sun but not built to last.

<b>MUST BE EQUIPPED TO WORK</b>","用干草编织的宽檐帽，能有效遮阳，但不耐用。

<b>必须装备后才能生效</b>"
apparel_leather_apron_CardName,Leather Apron,皮围裙
apparel_leather_apron_CardDescription,"A tough leather apron worn over the torso. Protects against sparks, cuts, and hard work.

<b>MUST BE EQUIPPED TO WORK</b>","一条穿在躯干外的坚韧皮围裙，能防火星、防割伤，适合繁重劳作。

<b>必须装备后才能生效</b>"
apparel_leather_sandals_CardName,Leather Sandals,皮凉鞋
apparel_leather_sandals_CardDescription,"Simple sandals cut from leather and laced with twine. Protect the soles of the feet.

<b>MUST BE EQUIPPED TO WORK</b>","用皮革裁成、麻绳系紧的简易凉鞋，能保护脚底。

<b>必须装备后才能生效</b>"
apparel_cloth_coat_CardName,Cloth Coat,布大衣
apparel_cloth_coat_CardDescription,"A full-length coat of woven cloth. Lighter than fur but provides decent protection from wind and light rain.

<b>MUST BE EQUIPPED TO WORK</b>","一件及地的织布大衣，比毛皮更轻便，能提供不错的防风防小雨效果。

<b>必须装备后才能生效</b>"
apparel_cloth_scarf_DA_RipUp,Rip up,撕破
apparel_foot_wraps_DA_RipUp,Rip up,撕破
apparel_hand_wraps_DA_RipUp,Rip up,撕破
apparel_chaperon_DA_RipUp,Rip up,撕破
apparel_straw_hat_DA_Dismantle,Dismantle,拆解
apparel_leather_apron_DA_Dismantle,Dismantle,拆解
apparel_leather_sandals_DA_Dismantle,Dismantle,拆解
apparel_cloth_coat_DA_RipUp,Rip up,撕破
apparel_bp_cloth_scarf_CardName,Cloth Scarf,布围巾
apparel_bp_cloth_scarf_CardDescription,A cloth scarf worn around the neck.,一条围在脖子上的布围巾。
apparel_bp_cloth_scarf_UnlockConditionsDesc,Earn the Weaver's trust,赢得织工的信任
apparel_bp_foot_wraps_CardName,Foot Wraps,裹脚布
apparel_bp_foot_wraps_CardDescription,Strips of cloth wound around the feet. Crude improvised footwear.,缠绕在双脚上的布条，简陋的临时鞋履。
apparel_bp_foot_wraps_UnlockConditionsDesc,Small Cloth Needed,需要小块布料
apparel_bp_hand_wraps_CardName,Hand Wraps,裹手布
apparel_bp_hand_wraps_CardDescription,Cloth strips wrapped around the hands. Minimal but better than nothing.,缠绕在双手上的布条，聊胜于无。
apparel_bp_hand_wraps_UnlockConditionsDesc,Small Cloth Needed,需要小块布料
apparel_bp_chaperon_CardName,Chaperon,兜帽披肩
apparel_bp_chaperon_CardDescription,A cloth hood with a short cape covering the head and shoulders.,一顶带有短披肩的布兜帽，遮住头部和肩膀。
apparel_bp_chaperon_UnlockConditionsDesc,"Show the Weaver a scarf you've sewn, and earn her trust",向织工展示你缝制的围巾，并赢得她的信任
apparel_bp_straw_hat_CardName,Straw Hat,草帽
apparel_bp_straw_hat_CardDescription,A wide-brimmed hat woven from dried straw.,用干草编织的宽檐帽。
apparel_bp_straw_hat_UnlockConditionsDesc,Straw needed,需要干草
apparel_bp_leather_apron_CardName,Leather Apron,皮围裙
apparel_bp_leather_apron_CardDescription,A tough leather apron worn over the torso.,一条穿在躯干外的坚韧皮围裙。
apparel_bp_leather_apron_UnlockConditionsDesc,Bring the Weaver a large piece of leather,为织工带来一大块皮革
apparel_bp_leather_sandals_CardName,Leather Sandals,皮凉鞋
apparel_bp_leather_sandals_CardDescription,Simple sandals cut from leather and laced with twine.,用皮革裁成、麻绳系紧的简易凉鞋。
apparel_bp_leather_sandals_UnlockConditionsDesc,Bring the Weaver a small piece of leather,为织工带来一小块皮革
apparel_bp_cloth_coat_CardName,Cloth Coat,布大衣
apparel_bp_cloth_coat_CardDescription,A full-length woven cloth coat.,一件及地的织布大衣。
apparel_bp_cloth_coat_UnlockConditionsDesc,Bring the Weaver a large cloth,为织工带来一大块布料
Combat_And_Armor_StoneMace_CardName,Stone Mace,石锤
Combat_And_Armor_StoneMace_CardDescription,A stone-headed mace lashed to a stick. Deals heavy blunt damage.,石头锤头绑在木棍上制成的锤子，能造成沉重的钝击伤害。
Combat_And_Armor_StoneMace_Dismantle_ActionName,Dismantle,拆解
Combat_And_Armor_StoneMace_Dismantle_ActionDescription,Break apart the mace to recover materials.,拆开石锤，回收材料。
Combat_And_Armor_QuiltedVest_CardName,Quilted Vest,棉背心
Combat_And_Armor_QuiltedVest_CardDescription,A padded cloth vest offering basic torso protection against cuts and blows.,一件填充棉絮的布背心，能为躯干提供基础的防割防击保护。
Combat_And_Armor_QuiltedVest_Dismantle_ActionName,Dismantle,拆解
