CSFFMFW_HubExit_CardName,Exit,出口
CSFFMFW_HubExit_DA_Exit,Exit,出口
CSFFMFW_SacredCave_CardName,Portal Hub,传送枢纽
CSFFMFW_SacredCave_CardDescription,An ancient standing stone etched with glowing runes. Use it to open a gateway to other worlds.,一块刻满发光符文的古老立石。使用它可打开通往其他世界的传送门。
CSFFMFW_SacredCave_DA_PackUp,Pack Up Portal,收起传送门
CSFFMFW_PortalKit_CardName,Portal Kit,传送门套件
CSFFMFW_PortalKit_CardDescription,A kit containing everything needed to raise a Portal Hub. Place it anywhere — then use the portal to travel to other worlds.,一套搭建传送枢纽所需的全部材料。将其放置在任意位置——然后使用传送门前往其他世界。
CSFFMFW_PortalKit_DA_Place,Set Up Portal,搭建传送门
CSFFMFW_Perk_Wayfinder_PerkName,Arcane Wayfinder,奥术引路者
CSFFMFW_Perk_Wayfinder_PerkDescription,You begin with a Portal Kit. Place it anywhere to open a gateway to other worlds.,你初始拥有一个传送门套件。将其放置在任意位置即可打开通往其他世界的传送门。
CSFFMFW_BpPortalKit_CardName,Portal Kit,传送门套件
CSFFMFW_BpPortalKit_CardDescription,"Bind a witch stone into cured hide and dried wolfsbane, sealed with animal fat. Assembles a portable Portal Hub kit.",将巫石绑入鞣制兽皮与干乌头中，并用动物脂肪密封。制成一套便携式传送枢纽套件。
CSFFMFW_BpPortalKit_UnlockConditionsDesc,Witch Stone Needed,需要巫石
