Water_Sawmill_Bp_WaterDrivenSawmill_CardName,Water-Driven Sawmill,水力锯木厂
Water_Sawmill_Bp_WaterDrivenSawmill_CardDescription,"Construct a large sawmill powered by river flow or a connected mill race outlet, reinforced with iron fittings, bearings, and an axle.",在河流旁或连接的引水渠出口附近建造一座用铁制配件、轴承和铁轴加固的大型水力锯木厂。
Water_Sawmill_Bp_WaterDrivenSawmill_UnlockConditionsDesc,Water-Driven Mill,水力磨坊
Water_Sawmill_Frame_CardName,Water-Driven Sawmill Kit,水力锯木厂套件
Water_Sawmill_Frame_CardDescription,"A complete sawmill kit with all components for a large water-powered sawmill, including iron fittings, bearings, and an axle.",包含大型水力锯木厂所有组件的完整套件，包括铁制配件、轴承和铁轴。
Water_Sawmill_Frame_CardHelpSection,"<b>Use:</b> Place near water or a connected mill race outlet to set up the full sawmill structure.

<b>Scale:</b> This is a large construction project requiring iron parts, bearings, and an axle.","<b>用途：</b> 放置在水源旁或引水渠出口附近，建立完整的锯木厂结构。

<b>规模：</b> 这是一个需要铁制零件、轴承和铁轴的大型建造项目。"
Water_Sawmill_Frame_Place_ActionName,Place,放置
Water_Sawmill_Frame_Place_ActionDescription,Place the sawmill kit into the environment.,将锯木厂套件放置在环境中。
Water_Sawmill_Placed_CardName,Water-Driven Sawmill,水力锯木厂
Water_Sawmill_Placed_CardDescription,"A large, fixed water-powered sawmill fed by direct water or a mill race outlet.",一座由直接水源或引水渠出口驱动的大型固定水力锯木厂。
Water_Sawmill_Placed_CardHelpSection,"<b>Placement:</b> River environments only via blueprint conditions.

<b>Operation:</b> Load a log into the sawmill, then press Cut to saw it into planks.","<b>放置：</b> 仅限通过蓝图条件在河流环境中放置。

<b>操作：</b> 将木料装入锯木厂，然后按切割将其锯成木板。"
Water_Sawmill_Placed_PickUp_ActionName,Pack Up,收起
Water_Sawmill_Placed_PickUp_ActionDescription,Pack up the sawmill back into a transportable kit.,将锯木厂收回为可携带套件。
Water_Sawmill_Placed_Cut_ActionName,Cut,切割
Water_Sawmill_Placed_Cut_ActionDescription,Saw one log from the inventory into planks using water power.,利用水力将库存中的一根木料锯成木板。
Water_Sawmill_MillRace_CardName,Mill Race,引水渠
Water_Sawmill_MillRace_CardDescription,A channel segment used to carry and direct water flow to river-powered machines.,用于将水流引导至水力机械的渠道段。
Water_Sawmill_MillRace_CardHelpSection,<b>Use:</b> Build directional between-location races and install local mill race structures.,<b>用途：</b> 建造地点间定向引水渠并安装本地引水渠结构。
Water_Sawmill_WaterWheel_CardName,Water Wheel,水车
Water_Sawmill_WaterWheel_CardDescription,A river-driven wheel assembly. Built with a mill race as a required subcomponent.,由河流驱动的水车组件。需要引水渠作为必要子组件。
Water_Sawmill_WaterWheel_CardHelpSection,<b>Subcomponent:</b> The mill race is required to build this wheel.,<b>子组件：</b> 建造此水车需要引水渠。
Water_Sawmill_WaterMill_CardName,Water-Driven Mill,水力磨坊
Water_Sawmill_WaterMill_CardDescription,A water-driven mill that grinds millable materials on demand with 4x the capacity of a rotary quern.,按需研磨可磨材料的水力磨坊，容量是旋转石磨的4倍。
Water_Sawmill_WaterMill_CardHelpSection,"<b>Subcomponent:</b> Requires a mill race to construct.

<b>Capacity:</b> Can grind 4x the throughput of a manual rotary quern.

<b>Operation:</b> Load millable items and press <b>Grind All</b> to process the batch on demand.","<b>子组件：</b> 建造需要引水渠。

<b>容量：</b> 吞吐量是手动旋转石磨的4倍。

<b>操作：</b> 装入可磨物品后按<b>全部研磨</b>批量处理。"
Water_Sawmill_Bp_MillRace_CardName,Mill Race,引水渠
Water_Sawmill_Bp_MillRace_CardDescription,Build a wooden mill race segment used for water channels.,建造用于水渠的木制引水渠段。
Water_Sawmill_Bp_MillRace_UnlockConditionsDesc,Requires 1 Plank,需要1块木板
Water_Sawmill_Bp_WaterWheel_CardName,Water Wheel,水车
Water_Sawmill_Bp_WaterWheel_CardDescription,Assemble a large water wheel for power generation.,组装用于发电的大型水车。
Water_Sawmill_Bp_WaterWheel_UnlockConditionsDesc,Mill Race,引水渠
Water_Sawmill_Bp_WaterMill_CardName,Water-Driven Mill,水力磨坊
Water_Sawmill_Bp_WaterMill_CardDescription,Assemble a compact water mill. Requires a mill race as a core subcomponent.,组装紧凑型水力磨坊。需要引水渠作为核心子组件。
Water_Sawmill_Bp_WaterMill_UnlockConditionsDesc,Water Wheel,水车
Water_Sawmill_Bp_WaterDrivenForge_CardName,Water-Driven Forge,水力锻炉
Water_Sawmill_Bp_WaterDrivenForge_CardDescription,"Build a large forge in 4 phases: (1) Water mill and excavation, (2) Stone foundation and mud brick structure, (3) Fire chamber with leather bellows, (4) Final plaster, iron fittings, bearings, and axle. Total construction time: 12 hours (3 hours per phase).",分4阶段建造大型锻炉：(1)水力磨坊和挖掘，(2)石质地基和泥砖结构，(3)带皮风箱的火膛，(4)最终抹灰、铁制配件、轴承和铁轴。总建造时间：12小时（每阶段3小时）。
Water_Sawmill_Bp_WaterDrivenForge_UnlockConditionsDesc,Water-Driven Mill,水力磨坊
Water_Sawmill_Perk_SawmillStart_PerkName,Sawmill Start,锯木厂起步
Water_Sawmill_Perk_SawmillStart_PerkDescription,Start with a water-driven sawmill kit ready to place near water or a connected mill race outlet.,携带一个水力锯木厂套件开始游戏，可放置在水源旁或引水渠出口附近。
,,
Water_Sawmill_Frame_Disassemble_ActionName,Disassemble,拆卸
Water_Sawmill_Frame_Disassemble_ActionDescription,Break down the kit into its component parts.,将套件拆解为各组件。
Water_Sawmill_ForgeKit_CardName,Water-Driven Forge Kit,水力锻炉套件
Water_Sawmill_ForgeKit_CardDescription,"A complete forge kit with all components for a large water-powered metalworking forge, including iron fittings, bearings, and an axle.",包含大型水力锻炉所有组件的完整套件，包括铁制配件、轴承和铁轴。
Water_Sawmill_ForgeKit_CardHelpSection,"<b>Use:</b> Place near water or a connected mill race outlet to set up the forge.

<b>Scale:</b> This is a large construction project requiring water power, iron parts, bearings, and an axle.","<b>用途：</b> 放置在水源旁或引水渠出口附近建立锻炉。

<b>规模：</b> 这是一个需要水力、铁制零件、轴承和铁轴的大型建造项目。"
Water_Sawmill_ForgeKit_Place_ActionName,Place,放置
Water_Sawmill_ForgeKit_Place_ActionDescription,Place the forge kit into the environment.,将锻炉套件放置在环境中。
Water_Sawmill_ForgeKit_Disassemble_ActionName,Disassemble,拆卸
Water_Sawmill_ForgeKit_Disassemble_ActionDescription,Break down the kit into its component parts.,将套件拆解为各组件。
Water_Sawmill_WorkshopKit_CardName,Water-Driven Workshop Kit,水力工坊套件
Water_Sawmill_WorkshopKit_CardDescription,"A bundled upgrade kit combining the water-driven forge, mill drive, forge hammer, iron reinforcements, bearing and axle support, an iron workshop wrench, charcoal reserve, and gear train for heavy metalworking.",集水力锻炉、磨坊驱动装置、锻锤、铁制加固件、轴承和铁轴支撑、铁制工坊扳手、木炭储备和齿轮系于一体的重型金属加工升级套件。
Water_Sawmill_WorkshopKit_CardHelpSection,"<b>Purpose:</b> A bundled upgrade kit for extending the water-driven forge into a workshop.

<b>Contents:</b> Water-driven forge kit, water mill, forge hammer, iron parts, iron bearings, iron axle, iron wrench, charcoal, and copper gears.","<b>用途：</b> 将水力锻炉升级扩展为工坊的捆绑套件。

<b>内容：</b> 水力锻炉套件、水力磨坊、锻锤、铁制零件、铁轴承、铁轴、铁扳手、木炭和铜齿轮。"
Water_Sawmill_WorkshopKit_Disassemble_ActionName,Disassemble,拆卸
Water_Sawmill_WorkshopKit_Disassemble_ActionDescription,Break down the workshop kit into its component parts.,将工坊套件拆解为各组件。
Water_Sawmill_WorkshopKit_FuelCapacity.CardStatName,Temperature,温度
Water_Sawmill_ForgePlaced_CardName,Water-Driven Forge,水力锻炉
Water_Sawmill_ForgePlaced_CardDescription,A large water-powered forge for high-temperature metalworking, copper smelting, and clay firing.,用于高温金属加工、铜冶炼和烧陶的大型水力锻炉。
