FC_WolfCompanion_CardName,Wolf Companion,狼伙伴
FC_WolfCompanion_CardDescription,"A loyal wolf that follows you. Keep it fed, watered, and happy or it will eventually leave.",一只忠诚的狼跟随着你。保持喂养、给水和互动，否则它最终会离开。
FC_Perk_WolfFriend_PerkName,Wolf Friend,狼之友
FC_Perk_WolfFriend_PerkDescription,Start with a loyal wolf companion.,开始时携带一只忠诚的狼伙伴。
FC_WolfCompanion_CI0_ActionName,Feed Wolf,喂狼
FC_WolfCompanion_CI0_ActionDescription,Give the wolf a meal. It wags its tail.,给狼一顿饭。它摇着尾巴。
FC_WolfCompanion_CI1_ActionName,Give Water,喂水
FC_WolfCompanion_CI1_ActionDescription,Offer the wolf a drink from a water container.,让狼从盆中喝水。
FC_WolfCompanion_DA0_ActionName,Pet Wolf,抚摸狼
FC_WolfCompanion_DA0_ActionDescription,Spend a quiet moment with your companion by the fire.,在火旁与你的伙伴共度一段安静的时光。
FC_WolfCompanion_DA1_ActionName,Play with Wolf,与狼玩耍
FC_WolfCompanion_DA1_ActionDescription,"Chase, wrestle and tumble through the forest together. Pure joy.",一起在森林中追逐、摔跤和翻滚。纯粹的快乐。
FC_WolfCompanion_DA2_ActionName,Send on Hunt,派去狩猎
FC_WolfCompanion_DA2_ActionDescription,"The wolf disappears into the undergrowth. It returns with prey — a squirrel, perhaps a partridge, rarely a hare.",狼消失在灌木丛中。它带着猎物回来了。
FC_WolfCompanion_DA3_ActionName,Track Scents,追踪气味
FC_WolfCompanion_DA3_ActionDescription,Follow the wolf as it reads the forest. Your tracking improves.,跟随狼读懂森林。你的追踪技能提升了。
FC_WolfCompanion_DA4_ActionName,Guard Camp,守卫营地
FC_WolfCompanion_DA4_ActionDescription,The wolf patrols the perimeter while you rest. You sleep more soundly.,你休息时狼在周围巡逻。你睡得更安稳了。
FC_WolfCompanion_DA5_ActionName,Flush Prey,驱赶猎物
FC_WolfCompanion_DA5_ActionDescription,Send the wolf ahead on the trail. Prey scatter; you pick off stragglers.,让狼在猎径上打前哨。猎物四散逃跑，你拦截落单者。
FC_WolfCompanion_CI2_ActionName,Treat Wounds,治疗伤口
FC_WolfCompanion_CI2_ActionDescription,Apply the remedy to the wolf's injuries. It holds still while you work.,将药物涂抹在狼的伤口上。它一动不动地让你处理。
FC_WolfCompanion_Progress_CardStatName,Morale,士气
FC_WolfCompanion_SpoilageTime_CardStatName,Hunger,饥饿
FC_WolfCompanion_UsageDurability_CardStatName,Thirst,口渴
sh_wild_sheep_CardName,Wild Sheep,Wild Sheep
sh_wild_sheep_CardDescription,"A wild sheep roaming the forest. Offer it fresh meadowgrass to tame it, or slaughter it for resources.","A wild sheep roaming the forest. Offer it fresh meadowgrass to tame it, or slaughter it for resources."
sh_wild_male_sheep_CardName,Wild Ram,Wild Ram
sh_wild_male_sheep_CardDescription,"A wild ram. Offer it fresh meadowgrass to tame it, or slaughter it for resources.","A wild ram. Offer it fresh meadowgrass to tame it, or slaughter it for resources."
sh_tame_sheep_CardName,Tame Sheep,Tame Sheep
sh_tame_sheep_CardDescription,"A tame sheep. Shear it for wool, keep it near a ram to breed over time, or slaughter it.","A tame sheep. Shear it for wool, keep it near a ram to breed over time, or slaughter it."
sh_male_sheep_CardName,Ram,Ram
sh_male_sheep_CardDescription,"A tame ram. Keep it near tame sheep to impregnate them over time, or slaughter it for resources.","A tame ram. Keep it near tame sheep to impregnate them over time, or slaughter it for resources."
sh_lactating_sheep_CardName,Lactating Sheep,Lactating Sheep
sh_lactating_sheep_CardDescription,"A sheep that recently gave birth. Use a clay bowl to milk it daily, shear it for wool, or slaughter it.","A sheep that recently gave birth. Use a clay bowl to milk it daily, shear it for wool, or slaughter it."
sh_lamb_CardName,Lamb,Lamb
sh_lamb_CardDescription,"A young lamb. It will grow into a tame sheep or ram by the end of fall. You can feed it meadowgrass or straw to mature it early, or slaughter it for a small amount of meat and hide.","A young lamb. It will grow into a tame sheep or ram by the end of fall. You can feed it meadowgrass or straw to mature it early, or slaughter it for a small amount of meat and hide."
sh_sheep_milk_CardName,Sheep Milk,Sheep Milk
sh_sheep_milk_CardDescription,Fresh sheep milk.,Fresh sheep milk.
sh_sheep_milk_LiquidSuffixName,Sheep Milk,Sheep Milk
sh_warm_milk_CardName,Warm Milk,Warm Milk
sh_warm_milk_CardDescription,Warmed sheep milk. Comforting and nutritious.,Warmed sheep milk. Comforting and nutritious.
sh_curdled_milk_CardName,Curdled Milk,Curdled Milk
sh_curdled_milk_CardDescription,Curdled sheep milk. Press it over a fire to make cheese and whey.,Curdled sheep milk. Press it over a fire to make cheese and whey.
sh_sheep_cheese_CardName,Sheep Cheese,Sheep Cheese
sh_sheep_cheese_CardDescription,Fresh sheep cheese. Leave it out to age into a richer variety — the spoilage bar fills as it ages.,Fresh sheep cheese. Leave it out to age into a richer variety — the spoilage bar fills as it ages.
