Mod_Update_Manager_Name,Mod Update Manager,模组更新管理器
Mod_Update_Manager_Desc,Manages mod updates for Card Survival: Fantasy Forest.,管理卡牌生存：奇幻森林的模组更新。
Mod_Update_Manager_InstallIncomplete,[Install Incomplete],[安装不完整]
Mod_Update_Manager_RecheckRateLimited,Re-check Rate-Limited,Re-check Rate-Limited
Mod_Update_Manager_FrameworkStale,"Framework update available: ""{0}"" installed v{1}, latest v{2} available. Switch to the All or Updates Available filter above to update it - an outdated framework can break content mods.","Framework update available: ""{0}"" installed v{1}, latest v{2} available. Switch to the All or Updates Available filter above to update it - an outdated framework can break content mods."
Mod_Update_Manager_DependencyHeader,Dependencies ({0} unsatisfied),Dependencies ({0} unsatisfied)
Mod_Update_Manager_MissingDependencyBadge,[Missing dependency],[Missing dependency]
Mod_Update_Manager_MissingOptionalDependencyBadge,[Missing optional dependency],[Missing optional dependency]
Mod_Update_Manager_MissingHardDependency,"Requires ""{0}""{1}, which is not installed. BepInEx will refuse to load this plugin until it is.","Requires ""{0}""{1}, which is not installed. BepInEx will refuse to load this plugin until it is."
Mod_Update_Manager_MissingSoftDependency,"Optionally uses ""{0}""{1}, which is not installed. This plugin still loads, but some of its features may be inactive.","Optionally uses ""{0}""{1}, which is not installed. This plugin still loads, but some of its features may be inactive."
Mod_Update_Manager_DependencyMinVersion, v{0} or newer, v{0} or newer
