HSP_Perk_Homestead_PerkName,Homestead,安家
HSP_Perk_Homestead_PerkDescription,"You've come prepared to settle down. Start with a Homestead Kit, bundled for travel. Drop it wherever you want to build your homestead, then use Place to unpack a cabin kit, two rain cistern kits, and a stockpile of building materials (30 planks, 30 mud bricks, 50 stones, 20 heavy stones, 15 tree logs, 20 clay, 10 rope, 20 metal nuggets) all at once — then Place each kit to raise it. Everything can only be placed once.","你已经准备好安顿下来。开局获得一个便于携带的家园套件。放到你想建造家园的地方，然后使用「放置」一次性拆开小屋套件、两个集雨桶套件和一批建筑材料（30块木板、30块泥砖、50块石头、20块大石头、15根原木、20份黏土、10份绳索、20块金属块）——然后依次「放置」每个套件将其立起。所有内容都只能放置一次。"
HSP_HomesteadKit_CardName,Homestead Kit,家园套件
HSP_HomesteadKit_CardDescription,"Everything you need to start a homestead, bundled into one portable pack: a cabin kit, two rain cistern kits, and a stockpile of building materials. Drop it wherever you want to settle, then use Place to unpack it all at once. Can only be placed once.",开启家园所需的一切，全部打包进一个便携行囊：一个小屋套件、两个集雨桶套件，还有一批建筑材料。放到你想定居的地方，然后使用「放置」一次性全部拆开。只能放置一次。
HSP_HomesteadKit_DA_Place,Place,放置
HSP_HomesteadKit_DA_Place_Desc,"Unpack your homestead kit here: cabin kit, rain cistern kits, and building materials all appear on the spot.",在此处拆开你的家园套件：小屋套件、集雨桶套件和建筑材料都会就地出现。
HSP_Perk_CabinKit_PerkName,Cabin Kit,木屋套件
HSP_Perk_CabinKit_PerkDescription,Start with a cabin kit and a broom blueprint. Carry the kit with you and use Place to raise your cabin wherever you want it — it can only be placed once.,开局获得一套木屋套件和一张扫帚蓝图。随身携带套件，使用“放置”在任意地点建起你的木屋——只能放置一次。
HSP_CabinKit_CardName,Cabin Kit,小屋套件
HSP_CabinKit_CardDescription,"Your cabin, bundled for travel. Drop it wherever you want to settle, then use Place to raise it on the spot. Can only be placed once.",你的小屋，已经打包好方便携带。放到你想安家的地方，然后使用「放置」就地建起小屋。只能放置一次。
HSP_CabinKit_DA_Place,Place,放置
HSP_CabinKit_DA_Place_Desc,Raise your cabin on this spot.,在此处建起你的小屋。
HSP_Perk_RainCisternKit_PerkName,Rain Cistern Kit,雨水窖套件
HSP_Perk_RainCisternKit_PerkDescription,Start with a rain cistern kit. Use Place to set up your cistern wherever you want it — it can only be placed once.,开局获得一套雨水窖套件。使用“放置”在任意地点安置你的雨水窖——只能放置一次。
HSP_RainCisternKit_CardName,Rain Cistern Kit,集雨桶套件
HSP_RainCisternKit_CardDescription,"A rain cistern, disassembled and bundled for travel. Drop it wherever you want your water source, then use Place to set it up. Can only be placed once.",一个拆解打包、便于携带的集雨桶。放到你想设置水源的地方，然后使用「放置」进行搭建。只能放置一次。
HSP_RainCisternKit_DA_Place,Place,放置
HSP_RainCisternKit_DA_Place_Desc,Set up your rain cistern on this spot.,在此处搭建你的集雨桶。
HSP_Perk_MudHutKit_PerkName,Mud Hut Kit,泥屋套件
HSP_Perk_MudHutKit_PerkDescription,Start with a mud hut kit and a broom blueprint. Carry the kit with you and use Place to raise your hut wherever you want it — it can only be placed once.,开局获得一套泥屋套件和一张扫帚蓝图。随身携带套件，使用“放置”在任意地点建起你的泥屋——只能放置一次。
HSP_MudHutKit_CardName,Mud Hut Kit,泥屋套件
HSP_MudHutKit_CardDescription,"A humble mud hut, bundled for travel. Drop it wherever you want to settle, then use Place to raise it on the spot. Can only be placed once.",一座简朴的泥屋，打包便于携带。放到你想定居的地方，然后使用“放置”当场建起。只能放置一次。
HSP_MudHutKit_DA_Place,Place,放置
HSP_MudHutKit_DA_Place_Desc,Raise your mud hut on this spot.,在此处建起你的泥屋。
HSP_Perk_LogBedKit_PerkName,Log Bed Kit,原木床套件
