apparel_cloth_scarf_CardName,Cloth Scarf
apparel_cloth_scarf_CardDescription,"A cloth scarf worn around the neck. Offers light protection from wind and cold.

<b>MUST BE EQUIPPED TO WORK</b>"
apparel_foot_wraps_CardName,Foot Wraps
apparel_foot_wraps_CardDescription,"Strips of cloth wound around the feet and ankles. Crude but better than bare feet.

<b>MUST BE EQUIPPED TO WORK</b>"
apparel_hand_wraps_CardName,Hand Wraps
apparel_hand_wraps_CardDescription,"Strips of cloth wrapped around the hands. Offer minimal protection against cuts and cold.

<b>MUST BE EQUIPPED TO WORK</b>"
apparel_chaperon_CardName,Chaperon
apparel_chaperon_CardDescription,"A cloth hood with a short cape that covers the head and shoulders. More coverage than a simple coif.

<b>MUST BE EQUIPPED TO WORK</b>"
apparel_straw_hat_CardName,Straw Hat
apparel_straw_hat_CardDescription,"A wide-brimmed hat woven from dried straw. Good protection from the sun but not built to last.

<b>MUST BE EQUIPPED TO WORK</b>"
apparel_leather_apron_CardName,Leather Apron
apparel_leather_apron_CardDescription,"A tough leather apron worn over the torso. Protects against sparks, cuts, and hard work.

<b>MUST BE EQUIPPED TO WORK</b>"
apparel_leather_sandals_CardName,Leather Sandals
apparel_leather_sandals_CardDescription,"Simple sandals cut from leather and laced with twine. Protect the soles of the feet.

<b>MUST BE EQUIPPED TO WORK</b>"
apparel_cloth_coat_CardName,Cloth Coat
apparel_cloth_coat_CardDescription,"A full-length coat of woven cloth. Lighter than fur but provides decent protection from wind and light rain.

<b>MUST BE EQUIPPED TO WORK</b>"
apparel_cloth_scarf_DA_RipUp,Rip up
apparel_foot_wraps_DA_RipUp,Rip up
apparel_hand_wraps_DA_RipUp,Rip up
apparel_chaperon_DA_RipUp,Rip up
apparel_straw_hat_DA_Dismantle,Dismantle
apparel_leather_apron_DA_Dismantle,Dismantle
apparel_leather_sandals_DA_Dismantle,Dismantle
apparel_cloth_coat_DA_RipUp,Rip up
apparel_bp_cloth_scarf_CardName,Cloth Scarf
apparel_bp_cloth_scarf_CardDescription,A cloth scarf worn around the neck.
apparel_bp_cloth_scarf_UnlockConditionsDesc,Earn the Weaver's trust
apparel_bp_foot_wraps_CardName,Foot Wraps
apparel_bp_foot_wraps_CardDescription,Strips of cloth wound around the feet. Crude improvised footwear.
apparel_bp_foot_wraps_UnlockConditionsDesc,Small Cloth Needed
apparel_bp_hand_wraps_CardName,Hand Wraps
apparel_bp_hand_wraps_CardDescription,Cloth strips wrapped around the hands. Minimal but better than nothing.
apparel_bp_hand_wraps_UnlockConditionsDesc,Small Cloth Needed
apparel_bp_chaperon_CardName,Chaperon
apparel_bp_chaperon_CardDescription,A cloth hood with a short cape covering the head and shoulders.
apparel_bp_chaperon_UnlockConditionsDesc,"Show the Weaver a scarf you've sewn, and earn her trust"
apparel_bp_straw_hat_CardName,Straw Hat
apparel_bp_straw_hat_CardDescription,A wide-brimmed hat woven from dried straw.
apparel_bp_straw_hat_UnlockConditionsDesc,Straw needed
apparel_bp_leather_apron_CardName,Leather Apron
apparel_bp_leather_apron_CardDescription,A tough leather apron worn over the torso.
apparel_bp_leather_apron_UnlockConditionsDesc,Bring the Weaver a large piece of leather
apparel_bp_leather_sandals_CardName,Leather Sandals
apparel_bp_leather_sandals_CardDescription,Simple sandals cut from leather and laced with twine.
apparel_bp_leather_sandals_UnlockConditionsDesc,Bring the Weaver a small piece of leather
apparel_bp_cloth_coat_CardName,Cloth Coat
apparel_bp_cloth_coat_CardDescription,A full-length woven cloth coat.
apparel_bp_cloth_coat_UnlockConditionsDesc,Bring the Weaver a large cloth
Combat_And_Armor_StoneMace_CardName,Stone Mace
Combat_And_Armor_StoneMace_CardDescription,A stone-headed mace lashed to a stick. Deals heavy blunt damage.
Combat_And_Armor_StoneMace_Dismantle_ActionName,Dismantle
Combat_And_Armor_StoneMace_Dismantle_ActionDescription,Break apart the mace to recover materials.
Combat_And_Armor_QuiltedVest_CardName,Quilted Vest
Combat_And_Armor_QuiltedVest_CardDescription,A padded cloth vest offering basic torso protection against cuts and blows.
Combat_And_Armor_QuiltedVest_Dismantle_ActionName,Dismantle
Combat_And_Armor_QuiltedVest_Dismantle_ActionDescription,Take apart the vest to recover cloth and twine.
Combat_And_Armor_QuiltedCap_CardName,Quilted Cap
Combat_And_Armor_QuiltedCap_CardDescription,A thick padded cap offering basic head protection.
Combat_And_Armor_QuiltedCap_Dismantle_ActionName,Dismantle
Combat_And_Armor_QuiltedCap_Dismantle_ActionDescription,Take apart the cap to recover cloth and twine.
Combat_And_Armor_BoneLamellar_CardName,Bone Lamellar Armor
Combat_And_Armor_BoneLamellar_CardDescription,Overlapping bone plates laced together with sinew over leather backing. Strong torso protection.
Combat_And_Armor_BoneLamellar_Dismantle_ActionName,Dismantle
Combat_And_Armor_BoneLamellar_Dismantle_ActionDescription,"Break apart the armor to recover bone, leather, and sinew."
Combat_And_Armor_Bp_StoneMace_CardName,Stone Mace
Combat_And_Armor_Bp_StoneMace_CardDescription,Craft a stone-headed mace.
Combat_And_Armor_Bp_StoneMace_UnlockConditionsDesc,The village armory opens (Reputation 50)
Combat_And_Armor_Bp_QuiltedVest_CardName,Quilted Vest
Combat_And_Armor_Bp_QuiltedVest_CardDescription,Sew a padded cloth vest for torso protection.
Combat_And_Armor_Bp_QuiltedVest_UnlockConditionsDesc,The Weaver and Professor's winter fieldwork
Combat_And_Armor_Bp_QuiltedCap_CardName,Quilted Cap
Combat_And_Armor_Bp_QuiltedCap_CardDescription,Sew a padded cloth cap for head protection.
Combat_And_Armor_Bp_QuiltedCap_UnlockConditionsDesc,Complete the Professor's first specimen commission
Combat_And_Armor_Bp_BoneLamellar_CardName,Bone Lamellar Armor
Combat_And_Armor_Bp_BoneLamellar_CardDescription,Assemble overlapping bone plates into torso armor.
Combat_And_Armor_Bp_BoneLamellar_UnlockConditionsDesc,Bring the Professor bones or antler for his reconstruction
CharacterTraits_Perk_Angler_PerkName,Angler
CharacterTraits_Perk_Angler_PerkDescription,"You've spent years by the water. Start with a fishing rod, line, and bait. Your patience gives you a constant fishing advantage."
CharacterTraits_Perk_GreenThumb_PerkName,Green Thumb
CharacterTraits_Perk_GreenThumb_PerkDescription,"Plants thrive under your care. Start with Turnroot seeds, Meadowgrass seeds, and a Flint Hoe. Your attentiveness gives you a constant foraging advantage."
CharacterTraits_Perk_StrongKidneys_PerkName,Strong Kidneys
CharacterTraits_Perk_StrongKidneys_PerkDescription,"Your body retains water efficiently. You become thirsty significantly more slowly than normal, requiring less frequent drinks to stay hydrated."
CharacterTraits_Perk_NaturalTrader_PerkName,Natural Trader
CharacterTraits_Perk_NaturalTrader_PerkDescription,"You have a knack for dealing with people. Start with a significantly advanced Social skill, making trader interactions and NPC negotiations more favourable from the outset."
CharacterTraits_Perk_Swimmer_PerkName,Swimmer
CharacterTraits_Perk_Swimmer_PerkDescription,You are at home in the water. Start with a head start in the Swimming skill and a constant swimming aid that reduces the stamina cost of crossing water.
CharacterTraits_Perk_Trapper_PerkName,Trapper
CharacterTraits_Perk_Trapper_PerkDescription,"You know how to set a trap and read the land. Start with a Snare Trap, Log Trap, Flint Knife, and Rustic Spear, plus a head start in the Trapping skill."
Pottery_Sculpture_Pigment_CardName,Pigment
Pottery_Sculpture_Pigment_CardDescription,A fine colored powder made by grinding charcoal. Used to paint and decorate pottery.
Pottery_Sculpture_PaintedBowl_CardName,Painted Clay Bowl
Pottery_Sculpture_PaintedBowl_CardDescription,A clay bowl decorated with hand-painted designs. Beautiful and functional.
Pottery_Sculpture_PaintedBowl_UsageDurability,Durability
Pottery_Sculpture_PaintedBowl_Broken,The painted bowl has shattered.
Pottery_Sculpture_PaintedVase_CardName,Painted Clay Vase
Pottery_Sculpture_PaintedVase_CardDescription,An ornamental vase adorned with painted patterns. A fine display piece with increased trade value.
Pottery_Sculpture_PaintedVase_UsageDurability,Durability
Pottery_Sculpture_PaintedVase_Broken,The painted vase has shattered.
Pottery_Sculpture_FigurineDragon_CardName,Dragon Figurine
Pottery_Sculpture_FigurineDragon_CardDescription,A small clay figurine sculpted into the shape of a dragon. Intricately detailed and valuable for trade.
Pottery_Sculpture_FigurineDragon_UsageDurability,Durability
Pottery_Sculpture_FigurineDragon_Broken,The dragon figurine has crumbled.
Pottery_Sculpture_FigurineBear_CardName,Bear Figurine
Pottery_Sculpture_FigurineBear_CardDescription,A small clay figurine shaped like a bear. A charming decoration and a fine trade good.
Pottery_Sculpture_FigurineBear_UsageDurability,Durability
Pottery_Sculpture_FigurineBear_Broken,The bear figurine has crumbled.
Pottery_Sculpture_Bp_Pigment_CardName,Pigment
Pottery_Sculpture_Bp_Pigment_CardDescription,Grind charcoal into a fine pigment powder using a hand stone.
Pottery_Sculpture_Bp_Pigment_UnlockConditionsDesc,Charcoal Needed
Pottery_Sculpture_Bp_PaintedBowl_CardName,Painted Clay Bowl
Pottery_Sculpture_Bp_PaintedBowl_CardDescription,Paint decorative designs onto a clay bowl using pigment.
Pottery_Sculpture_Bp_PaintedBowl_UnlockConditionsDesc,Bring the Inn Keeper a hot cooked stew
Pottery_Sculpture_Bp_PaintedVase_CardName,Painted Clay Vase
Pottery_Sculpture_Bp_PaintedVase_CardDescription,Adorn a clay vase with painted patterns using pigment.
Pottery_Sculpture_Bp_PaintedVase_UnlockConditionsDesc,Bring the Inn Keeper a wine or second brew for the top shelf
Pottery_Sculpture_Bp_FigurineDragon_CardName,Dragon Figurine
Pottery_Sculpture_Bp_FigurineDragon_CardDescription,Sculpt a small dragon from clay using a knife.
Pottery_Sculpture_Bp_FigurineDragon_UnlockConditionsDesc,Bring the Professor metal nuggets for his dragon cast
Pottery_Sculpture_Bp_FigurineBear_CardName,Bear Figurine
Pottery_Sculpture_Bp_FigurineBear_CardDescription,Sculpt a small bear from clay using a knife.
Pottery_Sculpture_Bp_FigurineBear_UnlockConditionsDesc,Clay Needed
Pottery_Sculpture_ClayBeads_CardName,Clay Beads
Pottery_Sculpture_ClayBeads_CardDescription,A string of small handcrafted clay beads strung on twine. Worn as a necklace or traded as decorative goods.
Pottery_Sculpture_ClayBeads_UsageDurability,Durability
