Advanced_Copper_Tools_CopperNails_CardName,Copper Nail,铜钉
Advanced_Copper_Tools_CopperNails_CardDescription,"A small copper nail, perfect for joining wood.",一枚小铜钉，非常适合连接木材。
Advanced_Copper_Tools_Oil_CardName,Oil,油脂
Advanced_Copper_Tools_Oil_CardDescription,Rendered animal fat collected in a clay bowl. A rich food source that also burns as clean lamp fuel.,从动物脂肪中提炼、收集在陶碗中的油脂。既是富含营养的食物，也可作为清洁的灯油。
Advanced_Copper_Tools_Oil_CardHelpSection,"<b>Crafted:</b> By rendering 2 animal fat in a clay bowl over any fire.

<b>Uses:</b> Drink for nutrition (returns empty clay bowl), or pour into a lantern or oil flask as lamp fuel.","<b>制作：</b> 在任何火源上将2块动物脂肪放入陶碗中熬制。

<b>用途：</b> 饮用补充营养（返回空陶碗），或倒入提灯或油瓶作为灯油。"
Advanced_Copper_Tools_Oil_Drink_ActionName,Drink,饮用
Advanced_Copper_Tools_Bp_Oil_CardName,Rendered Oil,熬制油脂
Advanced_Copper_Tools_Bp_Oil_CardDescription,Render 2 animal fat in a clay bowl over a fire to produce cooking oil and lamp fuel.,将2块动物脂肪放入陶碗置于火上熬制，制成烹饪油和灯油。
Advanced_Copper_Tools_Bp_Oil_UnlockConditionsDesc,Animal Fat Needed,需要动物脂肪
Advanced_Copper_Tools_MetalLantern_Refuel_ActionName,Refuel with Oil,用油补充燃料
Advanced_Copper_Tools_MetalLantern_Refuel_ActionDescription,Poured oil into the lantern.,向提灯中倒入油脂。
Advanced_Copper_Tools_MetalLantern_Light_ActionName,Light Lantern,点燃提灯
Advanced_Copper_Tools_MetalLantern_Light_ActionDescription,Light the lantern with a flame.,用火焰点燃提灯。
Advanced_Copper_Tools_MetalLantern_NeedsFuel,The lantern needs oil first.,提灯需要先加油。
Advanced_Copper_Tools_MetalLantern_FuelCapacity_CardStatName,Oil,油量
Advanced_Copper_Tools_MetalLantern_Lit_CardName,Lit Metal Lantern,已点燃的金属提灯
Advanced_Copper_Tools_MetalLantern_Lit_CardDescription,A lit copper lantern burning oil for portable light. Extinguish it before refueling.,一盏正在燃烧油脂提供便携照明的铜提灯。补充燃料前需先熄灭。
Advanced_Copper_Tools_MetalLantern_Lit_FuelCapacity_CardStatName,Oil,油量
Advanced_Copper_Tools_MetalLantern_Lit_FuelOut_ActionName,Lantern Burns Out,提灯燃尽
Advanced_Copper_Tools_MetalLantern_Lit_FuelOut_ActionDescription,The lantern runs out of oil.,提灯的油脂耗尽了。
Advanced_Copper_Tools_MetalLantern_Extinguish_ActionName,Extinguish,熄灭
Advanced_Copper_Tools_MetalLantern_Extinguish_ActionDescription,Put out the lantern.,熄灭提灯。
Advanced_Copper_Tools_MetalLantern_Place_ActionName,Place,放置
